composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,357,360,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,313,316,contour,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,contour,1.0,282,285,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,0,3,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,8,11,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,17,20,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,26,29,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,43,46,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,52,55,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),SwirlingBlaze_motif,contour,1.0,39,44,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,203,206,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,208,211,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,211,214,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,46,49,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,55,58,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,91,94,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,120,123,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,142,145,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,172,175,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,210,213,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,239,242,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Mime_motif,contour,1.0,244,247,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Ride_motif,contour,1.0,30,35,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Ride_motif,contour,1.0,59,64,contour,0
ennio_morricone,A Fistful of Dollars (Morricone),Ride_motif,contour,1.0,70,75,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,568,573,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,369,374,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,364,369,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,359,364,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,354,359,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,228,233,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,SwirlingBlaze_motif,contour,1.0,189,194,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,535,538,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,491,494,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,482,485,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,439,442,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,413,416,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,377,380,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,286,289,contour,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,contour,1.0,246,249,contour,0
ennio_morricone,Al Capone (The Untouchables),Mime_motif,contour,1.0,61,64,contour,0
