composer,score,leitmotif,match_class,combined_score,interval_sim,contour_sim,rhythm_sim,start_note_idx,end_note_idx,edit_distance
max_steiner,The Adventures of Don Juan Suite,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,203,209,0
max_steiner,The Adventures of Don Juan Suite,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,174,180,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,9,15,0
john_williams,John Williams - The Hunt (Piano Solo),Nibelungs_motif,approximate,0.75,0.75,0.75,0.0,246,255,2
john_williams,John Williams - The Hunt (Piano Solo),Nibelungs_motif,near-exact,0.75,0.75,0.75,0.75,646,655,0
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,strong,0.75,0.625,0.875,0.875,99,108,0
john_williams,John Williams - The Hunt (Piano Solo),Nibelungs_motif,approximate,0.75,0.75,0.875,0.0,92,101,2
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,strong,0.75,0.625,0.875,0.875,18,27,0
howard_shore,At the battle of Minas Tirith,SiblingsLove_motif,strong,0.75,0.5,1.0,1.0,44,51,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,36,42,0
howard_shore,La comarca – Howard Shore,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,26,32,0
howard_shore,La comarca – Howard Shore,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,247,253,0
howard_shore,La comarca – Howard Shore,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,271,277,0
ennio_morricone,Cinema Paradiso (Morricone),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,23,29,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,234,240,0
ennio_morricone,Cinema Paradiso (Morricone),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,135,141,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,215,221,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,28,34,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,41,47,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,31,37,0
john_williams,John William - Jurassic Park Theme,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,531,537,0
ennio_morricone,Cinema Paradiso (Morricone),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,75,81,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,4,10,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,12,18,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,58,64,0
max_steiner,Ballroom Waltz - The Charge of The Light Brigade,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,50,56,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,100,106,0
ennio_morricone,Love theme - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,73,79,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,168,174,0
john_williams,Flying Theme E. T. - John Williams,Ride_motif,strong,0.74,0.6,0.8,1.0,12,18,0
john_williams,Indiana Jones and The Last Crusade – John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,0,6,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,537,543,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,526,532,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,408,414,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,244,250,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,120,126,0
ennio_morricone,Love theme - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,22,28,0
ennio_morricone,Love theme - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,124,130,0
john_williams,Flying Theme E. T. - John Williams,Ride_motif,strong,0.74,0.6,0.8,1.0,36,42,0
john_williams,Flying Theme E. T. - John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,67,73,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,292,298,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,152,158,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,188,194,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.74,0.6,0.8,1.0,131,137,0
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,strong,0.7375,0.625,0.75,1.0,459,468,0
ennio_morricone,A Fistful of Dollars (Morricone),Nibelungs_motif,strong,0.7375,0.625,0.75,1.0,140,149,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Nibelungs_motif,strong,0.7375,0.625,0.75,1.0,186,195,0
max_steiner,The Adventures of Don Juan Suite,Nibelungs_motif,strong,0.7375,0.625,0.75,1.0,289,298,0
john_williams,The Tale of Viktor Navorski (John Williams),Nibelungs_motif,strong,0.7375,0.625,0.75,1.0,439,448,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Robin enters The Great Hall,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,152,156,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,484,488,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,335,339,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,8,12,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,656,660,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Feast in The  Forest,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,552,556,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,479,483,0
erich_wolfgang_korngold,The Sea Hawk – Erich Wolfgang Korngold Leitmotifs,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,150,154,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Feast in The  Forest,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,641,645,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,319,323,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,212,216,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,Sword_motif,strong,0.7333,0.6667,1.0,0.5,239,246,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Feast in The  Forest,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,274,278,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Feast in The  Forest,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,240,244,0
max_steiner,King Kong March – Max Steiner,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,622,626,0
max_steiner,King Kong March – Max Steiner,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,562,566,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,456,460,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,19,23,0
erich_wolfgang_korngold,[WIP] [Piano Arr.] Suite from The Sea Hawk – Erich Korngold,Sword_motif,strong,0.7333,0.6667,1.0,0.5,278,285,0
john_williams,John William - Jurassic Park Theme,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,604,608,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,139,143,0
john_williams,John William - Jurassic Park Theme,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,60,64,0
john_williams,John William - Jurassic Park Theme,Mime_motif,strong,0.7333,0.6667,0.6667,1.0,97,101,0
